word,log_freq,entropy,entropy_targeted,rounds,rounds_targeted
sones,1.92,5.270951373666875,4.652204485819199,6.0,
songo,1.36,4.363354249807713,4.042875219926162,4.0,
songs,4.84,4.526993062909593,3.947249851806181,6.0,
songy,1.64,4.809123828491968,4.537319705398634,4.0,
sonic,3.93,5.131816010737664,4.907011036079036,4.0,3.0
sonly,0.0,5.155189385427297,4.935824780045018,3.0,
sonne,2.32,4.981353908249536,4.756892593164681,4.0,
sonny,3.64,4.419896343570977,4.139310981280557,4.0,
sonse,0.0,5.117137461234178,4.742123726913011,4.0,
sonsy,0.0,4.574256506434128,4.1161128315055935,4.0,
sooey,0.0,4.917070557461018,4.551645711771159,4.0,
sooks,1.13,3.917740206905,3.16409430422785,6.0,
sooky,1.2,4.188892245169949,3.735377899697671,5.0,
soole,0.0,5.10122756533681,4.933431568501995,4.0,
sools,0.0,4.281145859141549,3.732031730554688,5.0,
sooms,0.0,4.036206943572065,3.314931883602736,6.0,
soops,0.0,4.038989307417261,3.362431715287828,5.0,
soote,0.0,5.103020999959352,4.918505680381511,4.0,
sooth,2.37,4.4745046429192366,4.336532717167212,4.0,3.0
soots,1.08,4.277273088700789,3.737828925121128,5.0,
sooty,2.51,4.557440205300163,4.309651686698682,4.0,3.0
sophs,1.26,4.327499448486396,3.742320428224432,4.0,
sophy,2.06,4.610078817166204,4.340215476599486,5.0,
sopor,1.32,4.610645351636831,4.385153472297455,4.0,
soppy,2.3,4.120615902627799,3.7662984202432512,4.0,
sopra,2.02,5.459952516251698,5.086181851537116,3.0,
soral,0.0,5.73930738088994,5.5060148505854745,3.0,
soras,1.16,5.320233516022728,4.688756649783118,4.0,
sorbi,1.02,5.171424201179237,4.7601920793826205,3.0,
sorbo,1.88,4.523601335403378,4.173903893235166,3.0,
sorbs,1.24,4.68382725379095,4.072757077981732,4.0,
sorda,0.0,5.573227346251386,5.146947758503554,4.0,
sordo,1.61,4.714908991727082,4.346475723337257,4.0,
sords,0.0,4.871072635688203,4.249331981316447,5.0,
sored,1.14,5.738449089508968,5.418565552666884,3.0,
soree,0.0,5.489207967892525,5.243682840197965,3.0,
sorel,2.31,5.881191235852881,5.672589316358539,4.0,
sorer,1.4,5.205827517099895,4.958347052399776,4.0,
sores,3.03,5.440226145077838,4.832356229790883,4.0,
sorex,1.49,5.164306311083497,4.820624655570168,4.0,
sorgo,0.0,4.552540706034293,4.262982233299727,3.0,
sorns,0.0,5.0148345963296,4.499402670646922,5.0,
sorra,0.0,5.054784612400641,4.743524192923972,4.0,
sorry,5.18,4.642338461187564,4.427562026945984,3.0,3.0
sorta,3.29,5.763662750829015,5.475807949353007,3.0,
sorts,4.21,5.057398788911597,4.58332774713699,4.0,
sorus,0.0,4.911998284352177,4.325633391312588,4.0,
